"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv","dframe","Log_loss","Score_log","Score_spherical"
88475.068250781,88547.8808978841,0.632940111366883,0.0164013701906608,0.626819438835262,14.1953973763317,14.3388354138081,"valence","mo_ep_mean_episode_duration","p_thresh_1000_by_sample",NA,NA,NA
88485.0031196896,88557.8157667927,0.631897364112658,0.0171163595413176,0.625487066082858,14.2300207238866,14.3621838602265,"valence","mo_ep_mean_total_dist","p_thresh_1000_by_sample",NA,NA,NA
88482.1030274358,88554.9156745389,0.631663088097189,0.0162573381157674,0.625575949712998,14.208793968874,14.348779245842,"valence","mo_ep_mean_speed_mean","p_thresh_1000_by_sample",NA,NA,NA
88486.4673769044,88559.2800240075,0.630880723951796,0.0169153141323198,0.624529522883966,14.2317507514336,14.3636624667116,"valence","mo_ep_sd_speed_mean","p_thresh_1000_by_sample",NA,NA,NA
88465.6216543067,88538.4343014098,0.632995436576066,0.0170123048890703,0.626643786845655,14.1740743747341,14.3230084714455,"valence","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",NA,NA,NA
88472.4073372258,88545.2199843289,0.631787416078972,0.0159879773233217,0.625804791572132,14.1961684940577,14.3387892783174,"valence","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",NA,NA,NA
88476.1046527611,88548.9172998642,0.63261482414019,0.0173491262134005,0.626128479951268,14.2108780375449,14.3484492803961,"valence","mo_ep_mean_x_flips","p_thresh_1000_by_sample",NA,NA,NA
88460.7037689795,88533.5164160827,0.634516162734337,0.015727157225583,0.628676296467292,14.1501310990305,14.3062866977326,"valence","no_movement","p_thresh_1000_by_sample",NA,NA,NA
88481.4535735311,88554.2662206342,0.630365209327337,0.0187037793512129,0.623319867238175,14.238115023492,14.3657632268912,"valence","lockscreen_time","p_thresh_1000_by_sample",NA,NA,NA
3753.50968135466,3819.04106374747,0.506516079608478,0.0479091771140185,0.481683985887321,0.207190092258884,1,"stress","recording_duration","p_thresh_1000_by_sample",0.155473109244174,-30.1040764837902,0.00477441600875474
3757.94976913962,3823.48115153244,0.500906598808734,0.044003123889125,0.47793406687515,0.206795770304788,1,"stress","mo_ep_mean_episode_duration","p_thresh_1000_by_sample",0.154717167911589,-30.1031457047445,0.00468710878689037
3759.79648450132,3825.32786689413,0.497670008546216,0.0432624817927019,0.474955270495681,0.207225829126938,1,"stress","mo_ep_mean_total_dist","p_thresh_1000_by_sample",0.15551199473537,-30.1106184737548,0.00468054033540736
3760.01472487641,3825.54610726923,0.497068108132684,0.0391770314736165,0.476561335082712,0.207043260330631,1,"stress","mo_ep_mean_speed_mean","p_thresh_1000_by_sample",0.155413731778871,-30.1104969550197,0.00470458016223879
3758.51121520225,3824.04259759507,NA,0.0893262339428131,NA,0.207519519945195,1,"stress","mo_ep_sd_speed_mean","p_thresh_1000_by_sample",0.156256362603709,-Inf,0.00446922276008925
3761.51452332492,3827.04590571773,NA,0.0827665071243978,NA,0.207557380995049,1,"stress","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",0.156346796526879,-Inf,0.00467870672388465
3760.39501410044,3825.92639649326,0.497789051705798,0.0422605545255302,0.475628835517572,0.207134807851396,1,"stress","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",0.155447941399342,-Inf,0.0047152359953833
3758.76633011918,3824.297712512,0.498050510714532,0.0452689402726276,0.474250382690177,0.20706398560711,1,"stress","mo_ep_mean_x_flips","p_thresh_1000_by_sample",0.155256466984971,-Inf,0.00464411888909557
3760.95579219366,3826.48717458648,0.495341436607297,0.0412854592407781,0.473609148565687,0.207256518782337,1,"stress","no_movement","p_thresh_1000_by_sample",0.155830631252888,-Inf,0.00469190285397862
3757.50183736937,3823.03321976218,0.507840970847315,0.0504599057509731,0.481686942833179,0.207413067583923,1,"stress","lockscreen_time","p_thresh_1000_by_sample",0.156133920788156,-Inf,0.0046200641640428
90992.8358702088,91065.648517312,0.540719993232063,0.0136685275493947,0.534355316041142,16.0551683535009,16.1963511040905,"arousal","recording_duration","p_thresh_2000_by_sample",NA,NA,NA
90969.4441431108,91042.2567902139,0.545714225383394,0.012450000136078,0.53998706427097,15.9492763028201,16.1252014167097,"arousal","movement_episodes","p_thresh_2000_by_sample",NA,NA,NA
90976.7028681094,91049.5155152125,0.541887323191147,0.0133389235548442,0.535693980693565,15.9887480972216,16.1525997627381,"arousal","mo_ep_mean_speed_mean","p_thresh_2000_by_sample",NA,NA,NA
90991.9433733021,91064.7560204053,0.540484114571007,0.013115035828476,0.534377458253455,16.0307592518562,16.1828519967735,"arousal","mo_ep_sd_abs_jerk_mean","p_thresh_2000_by_sample",NA,NA,NA
90993.6041708968,91066.416818,0.540617011063661,0.0126672526455174,0.53472323270221,16.0241452000428,16.1795857145725,"arousal","mo_ep_sd_angle_mean","p_thresh_2000_by_sample",NA,NA,NA
90973.3823394922,91046.1949865953,0.541314187024334,0.0136128057319882,0.534984014754924,15.981347253147,16.1470333822008,"arousal","mo_ep_mean_angle_sd","p_thresh_2000_by_sample",NA,NA,NA
91001.265359881,91074.0780069841,NA,0.0263772037298194,NA,16.0947874631711,16.2209107329443,"arousal","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,NA,NA
90979.8832237605,91052.6958708637,0.542103902346767,0.0130243662961174,0.536061396029749,15.9889453101309,16.1536963813658,"arousal","no_movement","p_thresh_2000_by_sample",NA,NA,NA
90997.4648502107,91070.2774973138,0.538814117084035,0.0144677317166012,0.532043853095486,16.0726615600369,16.2083025004592,"arousal","lockscreen_time","p_thresh_2000_by_sample",NA,NA,NA
88462.5366990015,88535.3493461046,0.633721528610969,0.0179847720938562,0.62701345052458,14.2025915243826,14.3380437003868,"valence","recording_duration","p_thresh_2000_by_sample",NA,NA,NA
88462.5865187727,88535.3991658759,0.634003979067192,0.0164776150020554,0.627872200454723,14.1522537524704,14.3084914784042,"valence","movement_episodes","p_thresh_2000_by_sample",NA,NA,NA
88481.30995308,88554.1226001831,0.631806199747557,0.0163005699075012,0.625704977568381,14.204180434674,14.3457789861448,"valence","mo_ep_mean_speed_mean","p_thresh_2000_by_sample",NA,NA,NA
88486.0745127075,88558.8871598106,0.631051471920632,0.0170585801022271,0.624648508435285,14.2289720575727,14.3620444378194,"valence","mo_ep_sd_abs_jerk_mean","p_thresh_2000_by_sample",NA,NA,NA
88482.3774296327,88555.1900767358,0.63124202392728,0.0169208383044695,0.624894931719723,14.2168220810755,14.3539926952794,"valence","mo_ep_sd_angle_mean","p_thresh_2000_by_sample",NA,NA,NA
88440.2098108198,88513.022457923,0.633818106463983,0.0182536814775036,0.627009659596064,14.1408460475783,14.2953853949958,"valence","mo_ep_mean_angle_sd","p_thresh_2000_by_sample",NA,NA,NA
88479.6157270717,88552.4283741749,0.63223304922045,0.0165213353099009,0.626054978126611,14.216663618084,14.3527650992039,"valence","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,NA,NA
88464.2944590983,88537.1071062014,0.633940237468726,0.0156986205686973,0.628101951108947,14.1567093753087,14.3114952529207,"valence","no_movement","p_thresh_2000_by_sample",NA,NA,NA
88481.4535735311,88554.2662206342,0.630365209327337,0.0187037793512129,0.623319867238175,14.238115023492,14.3657632268912,"valence","lockscreen_time","p_thresh_2000_by_sample",NA,NA,NA
3753.50968135466,3819.04106374747,0.506516079608478,0.0479091771140185,0.481683985887321,0.207190092258884,1,"stress","recording_duration","p_thresh_2000_by_sample",0.155473109244174,-30.1040764837902,0.00477441600875474
3761.50517096197,3827.03655335478,NA,0.0742679413425416,NA,0.207600921194297,1,"stress","movement_episodes","p_thresh_2000_by_sample",0.156407734360407,-30.1197830321519,0.00465735261307682
3761.23247102727,3826.76385342008,0.497343589235009,0.0414822337607368,0.475589886312531,0.207163425771888,1,"stress","mo_ep_mean_speed_mean","p_thresh_2000_by_sample",0.155634920499834,-30.112480141938,0.00472067778604067
