"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv","dframe","Log_loss","Score_log","Score_spherical"
3756.36811855399,3807.33697152618,0.493894994897883,0.0434239148515017,0.470920282286223,0.207584111350904,1,"stress","mo_ep_mean_total_dist","p_thresh_1000_by_sample",0.156392543013394,-Inf,0.00466987319320444
3757.89451217251,3808.8633651447,0.495066514432798,0.0423919544419224,0.472713822832456,0.207600719806517,1,"stress","mo_ep_mean_speed_mean","p_thresh_1000_by_sample",0.156425044705707,-30.1208765112097,0.00471244566463781
3757.67780837433,3808.64666134652,0.495314930809948,0.0423862337549757,0.472976384655566,0.207606233274441,1,"stress","mo_ep_sd_speed_mean","p_thresh_1000_by_sample",0.15640866199333,-30.1226255245668,0.0047139443477516
3757.95939078645,3808.92824375864,0.4955070254557,0.0424306992040115,0.473152518439203,0.207592739768549,1,"stress","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",0.156418038161153,-30.1213073647036,0.00470876902090904
3757.85607630849,3808.82492928068,0.495909340923746,0.0424408550762133,0.473567077554906,0.20758614436963,1,"stress","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",0.156404274773177,-30.1224425055279,0.00470999864622338
3756.15184864027,3807.12070161246,0.494903118531535,0.0439205681564758,0.471699876970964,0.207558858727327,1,"stress","mo_ep_mean_x_flips","p_thresh_1000_by_sample",0.156364932267789,-Inf,0.00464253429896286
3757.71698601528,3808.68583898747,0.496067300001767,0.0425624378506983,0.473665208134324,0.207576011777673,1,"stress","no_movement","p_thresh_1000_by_sample",0.156394526536581,-30.1236103579239,0.00470407531068125
3757.96776504073,3808.93661801292,0.495632235398914,0.0423762196303387,0.473313241650713,0.20759539777937,1,"stress","lockscreen_time","p_thresh_1000_by_sample",0.15641476042658,-30.1215950108858,0.00471165692059913
90997.564006635,91055.8141243175,0.538209098611651,0.0127637822820941,0.532238695156642,16.095111918605,16.2212376622429,"arousal","recording_duration","p_thresh_2000_by_sample",NA,NA,NA
90997.6115120288,91055.8616297113,0.538029035598824,0.012902107473949,0.531990729694538,16.0952743452393,16.2213986826116,"arousal","movement_episodes","p_thresh_2000_by_sample",NA,NA,NA
90993.5920025891,91051.8421202716,0.537303337107748,0.013415137499397,0.531011795863664,16.0927621202729,16.2188558791733,"arousal","mo_ep_mean_speed_mean","p_thresh_2000_by_sample",NA,NA,NA
90994.5616349184,91052.8117526009,0.5379944890121,0.013260971910074,0.531785509809798,16.0930932500731,16.219198084738,"arousal","mo_ep_sd_abs_jerk_mean","p_thresh_2000_by_sample",NA,NA,NA
90997.8860471137,91056.1361647962,0.538106619601729,0.0128903402569446,0.532074905924331,16.0954372395276,16.221563629058,"arousal","mo_ep_sd_angle_mean","p_thresh_2000_by_sample",NA,NA,NA
90991.6882612596,91049.9383789421,0.537403371781806,0.0137465310282119,0.530955638918593,16.0913640331077,16.217446139938,"arousal","mo_ep_mean_angle_sd","p_thresh_2000_by_sample",NA,NA,NA
90997.7735609938,91056.0236786763,0.53831000563142,0.0128748863207522,0.532288270280397,16.0952436977924,16.2213709697032,"arousal","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,NA,NA
90996.7739740938,91055.0240917763,0.537669440139107,0.013009107171187,0.531575657668119,16.094858902939,16.2209753275155,"arousal","no_movement","p_thresh_2000_by_sample",NA,NA,NA
90997.1455998955,91055.395717578,0.537877798060598,0.0129263567331767,0.531826014105736,16.0950094380385,16.2211297839279,"arousal","lockscreen_time","p_thresh_2000_by_sample",NA,NA,NA
88485.8057614367,88544.0558791192,0.629760104407092,0.0176793923191483,0.623096682795852,14.2758508804561,14.3884868791836,"valence","recording_duration","p_thresh_2000_by_sample",NA,NA,NA
88488.5402813984,88546.7903990809,0.629867783989314,0.0174546445613911,0.623292488268433,14.2775748955436,14.3902260157962,"valence","movement_episodes","p_thresh_2000_by_sample",NA,NA,NA
88488.7411828115,88546.991300494,0.62975289056061,0.017460661227661,0.623173246272251,14.2777659704825,14.3904176526838,"valence","mo_ep_mean_speed_mean","p_thresh_2000_by_sample",NA,NA,NA
88488.0688097095,88546.318927392,0.629678686014153,0.0176009755935006,0.623043890735161,14.2773810670444,14.3900288021919,"valence","mo_ep_sd_abs_jerk_mean","p_thresh_2000_by_sample",NA,NA,NA
88488.1200676387,88546.3701853212,0.629762362552631,0.0175269824068529,0.623157449805214,14.2773605519478,14.3900088998459,"valence","mo_ep_sd_angle_mean","p_thresh_2000_by_sample",NA,NA,NA
88486.800263862,88545.0503815445,0.629332521441735,0.0179621939422843,0.622552740564776,14.2767737938616,14.3894131745891,"valence","mo_ep_mean_angle_sd","p_thresh_2000_by_sample",NA,NA,NA
88487.278733861,88545.5288515435,0.629947143127667,0.0176237939034342,0.623308408147706,14.2767283679006,14.3893728831277,"valence","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,NA,NA
88488.6286838744,88546.8788015569,0.629888646876285,0.0174389941622577,0.623319721702009,14.2776206581562,14.3902722524354,"valence","no_movement","p_thresh_2000_by_sample",NA,NA,NA
