"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"fixed",NA,"(Intercept)",-0.0704991825893255,0.0562633537363728,-1.25302133462673,169.912045770974,0.211919568294176,-0.18156439504691,0.0405660298682594,"mo_ep_mean_y_flips","arousal","1000"
"fixed",NA,"mo_ep_mean_y_flips_within",-0.00675790929253722,0.00802937610848675,-0.84164811826343,10565.1571632963,0.400003996443577,-0.0224970003804974,0.00898118179542302,"mo_ep_mean_y_flips","arousal","1000"
"fixed",NA,"mo_ep_mean_y_flips_between",-0.0573658741035522,0.088904040203204,-0.645256098287924,169.399011057508,0.51963421468561,-0.232868398472245,0.118136650265141,"mo_ep_mean_y_flips","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.72204054470371,NA,NA,NA,NA,NA,NA,"mo_ep_mean_y_flips","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639342609346825,NA,NA,NA,NA,NA,NA,"mo_ep_mean_y_flips","arousal","1000"
"fixed",NA,"(Intercept)",-0.0768593604471961,0.0559100564942766,-1.37469652628707,170.198778427583,0.171032721035799,-0.187225822032655,0.0335071011382623,"movement_distance","arousal","1000"
"fixed",NA,"movement_distance_within",-0.00242309283358118,0.00690965708008396,-0.350682067937262,10565.3081208381,0.725833871501166,-0.0159673234839592,0.0111211378167968,"movement_distance","arousal","1000"
"fixed",NA,"movement_distance_between",0.112902752550133,0.116591110104275,0.968365018989497,170.552717377846,0.334233315222389,-0.117244699876409,0.343050204976674,"movement_distance","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.7210810453488,NA,NA,NA,NA,NA,NA,"movement_distance","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639358007063743,NA,NA,NA,NA,NA,NA,"movement_distance","arousal","1000"
"fixed",NA,"(Intercept)",-0.0382107410289944,0.0581765566770774,-0.656806507836002,170.195231917402,0.512192473992308,-0.153051291518493,0.0766298094605036,"lockscreen_episodes.","arousal","1000"
"fixed",NA,"lockscreen_episodes._within",-0.0155444649432596,0.0112868174329596,-1.3772230334715,10565.1556871022,0.168472479278005,-0.0376687552085529,0.00657982532203373,"lockscreen_episodes.","arousal","1000"
"fixed",NA,"lockscreen_episodes._between",-0.398458066909257,0.197522760320795,-2.01727672427281,172.191037054334,0.0452197725387325,-0.788335731312983,-0.00858040250553027,"lockscreen_episodes.","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.714268303558053,NA,NA,NA,NA,NA,NA,"lockscreen_episodes.","arousal","1000"
