"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_y_flips","valence","2000"
"within","mo_ep_mean_y_flips_within",-0.00261001480395766,0.95,-0.0266319799550116,0.0214119503470963,"mo_ep_mean_y_flips","valence","2000"
"between","mo_ep_mean_y_flips_between",-0.0346788143345702,0.95,-0.185375013483386,0.116017384814246,"mo_ep_mean_y_flips","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_y_flips","valence","2000"
"within","mo_ep_sd_y_flips_within",-0.00728709874424147,0.95,-0.0354994328006295,0.0209252353121465,"mo_ep_sd_y_flips","valence","2000"
"between","mo_ep_sd_y_flips_between",0.0847872079214092,0.95,-0.0658063792466546,0.235380795089473,"mo_ep_sd_y_flips","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_distance","valence","2000"
"within","movement_distance_within",-0.00937240861995229,0.95,-0.0348577162399822,0.0161128990000776,"movement_distance","valence","2000"
"between","movement_distance_between",0.0948622440739718,0.95,-0.0556096146598282,0.245334102807772,"movement_distance","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_episodes.","valence","2000"
"within","lockscreen_episodes._within",-0.0243511520499937,0.95,-0.0454749577542762,-0.00322734634571121,"lockscreen_episodes.","valence","2000"
"between","lockscreen_episodes._between",-0.13879161480901,0.95,-0.289057863783764,0.0114746341657446,"lockscreen_episodes.","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_time","valence","2000"
"within","lockscreen_time_within",-0.0285682678335305,0.95,-0.0509537000878624,-0.00618283557919865,"lockscreen_time","valence","2000"
"between","lockscreen_time_between",-0.148427640788984,0.95,-0.29828343576963,0.00142815419166166,"lockscreen_time","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","arousal","3000"
"within","recording_duration_within",0.000565664031317926,0.95,-0.018808963815954,0.0199402918785899,"recording_duration","arousal","3000"
"between","recording_duration_between",-0.0441309284991886,0.95,-0.196261617888809,0.107999760890432,"recording_duration","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_episodes","arousal","3000"
"within","movement_episodes_within",0.0110234823087224,0.95,-0.0162398149425078,0.0382867795599525,"movement_episodes","arousal","3000"
"between","movement_episodes_between",0.0857852368737213,0.95,-0.0652057929132445,0.236776266660687,"movement_episodes","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_total_dist","arousal","3000"
"within","mo_ep_mean_total_dist_within",-0.00734091108339916,0.95,-0.0274654133510911,0.0127835911842928,"mo_ep_mean_total_dist","arousal","3000"
"between","mo_ep_mean_total_dist_between",-0.00992605913748622,0.95,-0.161248319101409,0.141396200826437,"mo_ep_mean_total_dist","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_total_dist","arousal","3000"
"within","mo_ep_sd_total_dist_within",-0.0114302333880238,0.95,-0.0352381686473191,0.0123777018712716,"mo_ep_sd_total_dist","arousal","3000"
