"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_y_flips","arousal","2000"
"within","mo_ep_mean_y_flips_within",-0.00429035332527621,0.95,-0.0232099757933084,0.014629269142756,"mo_ep_mean_y_flips","arousal","2000"
"between","mo_ep_mean_y_flips_between",-0.0138729217184684,0.95,-0.165550207999552,0.137804364562615,"mo_ep_mean_y_flips","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_y_flips","arousal","2000"
"within","mo_ep_sd_y_flips_within",-0.00904872558812459,0.95,-0.0279676888232444,0.00987023764699521,"mo_ep_sd_y_flips","arousal","2000"
"between","mo_ep_sd_y_flips_between",0.0836408217937102,0.95,-0.0677694474660955,0.235051091053516,"mo_ep_sd_y_flips","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_distance","arousal","2000"
"within","movement_distance_within",-0.0033716019452848,0.95,-0.0222912537428207,0.0155480498522511,"movement_distance","arousal","2000"
"between","movement_distance_between",0.0727704218947936,0.95,-0.0787334891439223,0.22427433293351,"movement_distance","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_episodes.","arousal","2000"
"within","lockscreen_episodes._within",-0.0132918504802219,0.95,-0.0322099825377737,0.00562628157732998,"lockscreen_episodes.","arousal","2000"
"between","lockscreen_episodes._between",-0.154876242531198,0.95,-0.305369280398314,-0.00438320466408289,"lockscreen_episodes.","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_time","arousal","2000"
"within","lockscreen_time_within",-0.016177697594235,0.95,-0.0350950041477021,0.00273960895923205,"lockscreen_time","arousal","2000"
"between","lockscreen_time_between",-0.152864734466143,0.95,-0.303096047405471,-0.00263342152681488,"lockscreen_time","arousal","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","valence","2000"
"within","recording_duration_within",0.0238526002411406,0.95,0.00493827885719607,0.0427669216250851,"recording_duration","valence","2000"
"between","recording_duration_between",-0.00594003857953587,0.95,-0.157876281699204,0.145996204540132,"recording_duration","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_episodes","valence","2000"
"within","movement_episodes_within",-0.00743929324367554,0.95,-0.0263585415672172,0.0114799550798661,"movement_episodes","valence","2000"
"between","movement_episodes_between",0.136215677594933,0.95,-0.0136510985698905,0.286082453759757,"movement_episodes","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_total_dist","valence","2000"
"within","mo_ep_mean_total_dist_within",-0.00620110557978148,0.95,-0.0251205332659762,0.0127183221064133,"mo_ep_mean_total_dist","valence","2000"
"between","mo_ep_mean_total_dist_between",-0.0346779314400412,0.95,-0.185869570985899,0.116513708105816,"mo_ep_mean_total_dist","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_speed_mean","valence","2000"
"within","mo_ep_sd_speed_mean_within",-0.00910806650525682,0.95,-0.0280270347466381,0.00981090173612443,"mo_ep_sd_speed_mean","valence","2000"
"between","mo_ep_sd_speed_mean_between",-0.141896002436182,0.95,-0.291692641531575,0.00790063665921143,"mo_ep_sd_speed_mean","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_abs_jerk_sd","valence","2000"
"within","mo_ep_mean_abs_jerk_sd_within",0.00292917505205769,0.95,-0.0159905676914393,0.0218489177955546,"mo_ep_mean_abs_jerk_sd","valence","2000"
"between","mo_ep_mean_abs_jerk_sd_between",-0.276836732510966,0.95,-0.422167069207512,-0.13150639581442,"mo_ep_mean_abs_jerk_sd","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_abs_jerk_sd","valence","2000"
"within","mo_ep_sd_abs_jerk_sd_within",-0.00984596954428972,0.95,-0.0287648416809971,0.0090729025924177,"mo_ep_sd_abs_jerk_sd","valence","2000"
"between","mo_ep_sd_abs_jerk_sd_between",-0.177006872055693,0.95,-0.325855232580089,-0.0281585115312969,"mo_ep_sd_abs_jerk_sd","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_mean","valence","2000"
"within","mo_ep_mean_angle_mean_within",0.00332768163317994,0.95,-0.0155921769403672,0.0222475402067271,"mo_ep_mean_angle_mean","valence","2000"
"between","mo_ep_mean_angle_mean_between",-0.283958061245507,0.95,-0.428998876594847,-0.138917245896168,"mo_ep_mean_angle_mean","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_angle_mean","valence","2000"
"within","mo_ep_sd_angle_mean_within",-0.007530486605446,0.95,-0.0264497619055639,0.0113887886946719,"mo_ep_sd_angle_mean","valence","2000"
"between","mo_ep_sd_angle_mean_between",-0.147409554093176,0.95,-0.297051609465866,0.00223250127951444,"mo_ep_sd_angle_mean","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_sd","valence","2000"
"within","mo_ep_mean_angle_sd_within",-0.00868209320860398,0.95,-0.0276013432475944,0.0102371568303864,"mo_ep_mean_angle_sd","valence","2000"
"between","mo_ep_mean_angle_sd_between",-0.266700707968635,0.95,-0.412420806716801,-0.120980609220469,"mo_ep_mean_angle_sd","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_y_flips","valence","2000"
"within","mo_ep_mean_y_flips_within",-0.00393243491838175,0.95,-0.0228520924288942,0.0149872225921307,"mo_ep_mean_y_flips","valence","2000"
"between","mo_ep_mean_y_flips_between",-0.034895227975144,0.95,-0.186097041702937,0.11630658575265,"mo_ep_mean_y_flips","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_y_flips","valence","2000"
"within","mo_ep_sd_y_flips_within",-0.00858097973176567,0.95,-0.0275000455551788,0.0103380860916474,"mo_ep_sd_y_flips","valence","2000"
"between","mo_ep_sd_y_flips_between",0.083699824284095,0.95,-0.0672394758215588,0.234639124389749,"mo_ep_sd_y_flips","valence","2000"
