"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv1","iv2","dframe","Log_loss","Score_log","Score_spherical"
3761.19528979238,3826.7266721852,0.495034129694354,0.0427756907944294,0.472468610074548,0.207544187532372,1,"stress","mo_ep_mean_speed_mean","mo_ep_sd_angle_mean","p_thresh_2000_by_sample",0.156398853159751,-30.1227239601316,0.0047030268073013
3759.98330153819,3825.514683931,0.493324975969378,0.0436354005159688,0.470207257458109,0.207555956433051,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_angle_sd","p_thresh_2000_by_sample",0.156391919456498,-30.1237499478771,0.00456398006817878
3758.85283689963,3824.38421929244,0.495692630194304,0.0433443634724826,0.472843361236821,0.207526246898814,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",0.156281052125025,-Inf,0.00462849109635942
3757.22485566771,3822.75623806053,0.497764073635474,0.0437297173521088,0.474797099232399,0.207488991221243,1,"stress","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",0.156161680956685,-Inf,0.00465261112277241
90987.5854752017,91060.3981223048,0.537021535214255,0.0142342638876184,0.530336216988411,16.0856087646153,16.2116390526145,"arousal","mo_ep_mean_speed_sd","mo_ep_sd_angle_mean","p_thresh_3000_by_sample",NA,NA,NA
90988.696707048,91061.5093541511,0.536510750759812,0.0143046728816697,0.529784471439879,16.0867234255701,16.2127562275281,"arousal","mo_ep_mean_speed_sd","mo_ep_mean_angle_sd","p_thresh_3000_by_sample",NA,NA,NA
90991.9999288433,91064.8125759465,0.536912658922175,0.0138044486570237,0.530430511020655,16.0888683233257,16.2149251394444,"arousal","mo_ep_mean_speed_sd","mo_ep_mean_x_flips","p_thresh_3000_by_sample",NA,NA,NA
90996.7473722085,91069.5600193117,0.537995093206783,0.0135246107448541,0.531660990405385,16.0917970666235,16.2178903975628,"arousal","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_3000_by_sample",NA,NA,NA
88490.8515274821,88563.6641745852,0.629504539565282,0.0176766020127108,0.622837589745051,14.2766708751115,14.3893115012728,"valence","mo_ep_mean_speed_sd","mo_ep_sd_angle_mean","p_thresh_3000_by_sample",NA,NA,NA
88486.2273244403,88559.0399715434,0.629283719984659,0.0181074196461744,0.622447213236143,14.2737840877872,14.386399043814,"valence","mo_ep_mean_speed_sd","mo_ep_mean_angle_sd","p_thresh_3000_by_sample",NA,NA,NA
88486.5992167622,88559.4118638654,0.630124777909301,0.0175609338939859,0.623513320213606,14.2735183983209,14.3861390608565,"valence","mo_ep_mean_speed_sd","mo_ep_mean_x_flips","p_thresh_3000_by_sample",NA,NA,NA
88489.1706076601,88561.9832547633,0.629979678241194,0.0176958230780224,0.62331390779763,14.275323954775,14.3879574408294,"valence","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_3000_by_sample",NA,NA,NA
3761.30469579605,3826.83607818886,0.495947444861145,0.0426924918042878,0.473468503251511,0.207550480828468,1,"stress","mo_ep_mean_speed_sd","mo_ep_sd_angle_mean","p_thresh_3000_by_sample",0.156381163941292,-30.1242293877585,0.00471011266872079
3759.09194258777,3824.62332498058,0.493835711752032,0.0438017298854054,0.470649232415671,0.207522389639524,1,"stress","mo_ep_mean_speed_sd","mo_ep_mean_angle_sd","p_thresh_3000_by_sample",0.156340332641089,-30.1269341864639,0.00455892409408361
3760.45563708539,3825.98701947821,0.496940409770415,0.0429543946936166,0.474361945302974,0.207564996006819,1,"stress","mo_ep_mean_speed_sd","mo_ep_mean_x_flips","p_thresh_3000_by_sample",0.156321963245583,-Inf,0.00467359806248188
3758.62575951891,3824.15714191173,0.497062191687508,0.0432912897063658,0.474304139910956,0.207537560370961,1,"stress","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_3000_by_sample",0.156237370125989,-30.136173349876,0.00467438902361108
90997.3959261799,91070.208573283,0.538527778710504,0.0134155953440821,0.532252669805337,16.0919804471192,16.218081805606,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_angle_mean","p_thresh_1000_by_participant",NA,NA,NA
90995.392280656,91068.2049277592,0.538772636771698,0.0133986176815129,0.532508902283889,16.0903477506519,16.2164390820129,"arousal","mo_ep_mean_speed_mean","mo_ep_sd_angle_sd","p_thresh_1000_by_participant",NA,NA,NA
