"AIC","AICc","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","pseudo_R2","iv","dv","dframe"
21580.2650126613,21580.2754613971,21631.2286471074,0.559307544634068,0.000525306635750579,0.559075924291236,0.634248390340286,0.639228894327001,0.565560564620987,"trial_sd_x_flips","arousal","cutoff_0"
21587.9361748981,21587.946623634,21638.8998093443,0.559196342672419,0.00431381892182807,0.557286557045253,0.633891311824332,0.639178633610532,0.566060500151422,"trial_sd_y_flips","arousal","cutoff_0"
19646.3663092486,19646.3767579845,19697.3299436948,0.646790780852062,0.03707126164715,0.633192774210764,0.576080632569587,0.581611602824359,0.642951243752214,"clicks","valence","cutoff_0"
19630.2480508419,19630.2584995778,19681.2116852881,0.647788735472737,4.3389713789996e-05,0.64777345246365,0.57353564739627,0.579760521244096,0.646118828772092,"task_total_dist","valence","cutoff_0"
19657.3548731282,19657.3653218641,19708.3185075744,0.644829659252608,0.00712386705227249,0.642281318926527,0.576508700246468,0.581906392217495,0.642416830794222,"task_angle_sd","valence","cutoff_0"
19651.930797063,19651.9412457989,19702.8944315091,0.645926396418306,0.00128197371964762,0.645471900712143,0.57544937893232,0.581205701122235,0.643739567655895,"task_x_flips","valence","cutoff_0"
19656.7691249735,19656.7795737094,19707.7327594197,0.645187162243826,0.0064230363353482,0.642893453922781,0.576059307852073,0.581637866583108,0.642978998718981,"task_y_flips","valence","cutoff_0"
19660.7876834499,19660.7981321858,19711.7513178961,0.644841278609552,0.000944338127215016,0.644505571666864,0.576755315696029,0.582072494780443,0.64210870455507,"trial_sd_duration","valence","cutoff_0"
19641.9583111509,19641.9687598868,19692.9219455971,0.646385192338241,0.00817592405294478,0.643470232032727,0.575499234759863,0.581124952763973,0.64367412318513,"trial_mean_trial_move_offset","valence","cutoff_0"
19663.0664417366,19663.0768904725,19714.0300761828,0.643652095322575,0.0143088744861909,0.638479138694008,0.57807158714795,0.582859330065314,0.640459966832976,"trial_sd_trial_move_offset","valence","cutoff_0"
19653.8064347933,19653.8168835292,19704.7700692395,0.645695062320137,0.000399709276496863,0.645553386720786,0.575871997733832,0.581467684845317,0.643211587917888,"trial_sd_total_dist","valence","cutoff_0"
19654.2662883613,19654.2767370972,19705.2299228075,0.645266017345185,0.00956251171454643,0.641841118848505,0.575942094705222,0.581549533840581,0.643125064453005,"trial_sd_distance_overshoot","valence","cutoff_0"
19610.0255772791,19610.036026015,19660.9892117252,0.648585832281638,0.00491735238085288,0.646849265677417,0.572524734929815,0.578910410453117,0.647370057425308,"trial_mean_speed_mean","valence","cutoff_0"
19656.2979788245,19656.3084275604,19707.2616132707,0.645349896840144,0.00824477207062948,0.642401579369226,0.576080666665691,0.581645669774347,0.64295214795583,"trial_sd_speed_mean","valence","cutoff_0"
19621.8180158231,19621.828464559,19672.7816502693,0.647359233484826,0.00744621389488745,0.644713695668852,0.573778361731474,0.579856914723657,0.645814814931939,"trial_mean_speed_sd","valence","cutoff_0"
19658.0198483014,19658.0302970373,19708.9834827476,0.64529443048721,0.00843286028541926,0.642277809231464,0.576627542909095,0.581978786564408,0.642268153602,"trial_sd_speed_sd","valence","cutoff_0"
19643.0173434725,19643.0277922084,19693.9809779187,0.646440507938259,0.000421583111259417,0.646291390362129,0.574940736143866,0.580788006044869,0.644371642216068,"trial_sd_abs_jerk_sd","valence","cutoff_0"
19649.1098795116,19649.1203282475,19700.0735139578,0.64592029582046,0.00359705809904553,0.644642052637841,0.575549519057507,0.581237749502936,0.643613629368886,"trial_mean_angle_mean","valence","cutoff_0"
19666.6455853247,19666.6560340606,19717.6092197709,0.643595757052125,0.00141200741012662,0.643091800029031,0.578513119807782,0.583092674151277,0.639905655203092,"trial_sd_angle_mean","valence","cutoff_0"
19662.6975433317,19662.7079920675,19713.6611777778,0.64441794644954,0.00532300039113306,0.642515053941848,0.577251617080279,0.582379306808972,0.641487595156325,"trial_mean_angle_sd","valence","cutoff_0"
19660.2916227941,19660.30207153,19711.2552572403,0.643589584609676,0.0186389430864351,0.636820298829409,0.577865208592712,0.582737109487151,0.640718662775503,"trial_sd_angle_sd","valence","cutoff_0"
19665.7836507013,19665.7940994372,19716.7472851475,0.644072722191477,0.000341571544924128,0.643951106020692,0.577816799565653,0.582713586890134,0.640779461775309,"trial_sd_x_flips","valence","cutoff_0"
19664.8144445585,19664.8248932944,19715.7780790047,0.643976491457074,0.00572967481381843,0.641924837215414,0.577862482577058,0.582743506093255,0.640722276081137,"trial_sd_y_flips","valence","cutoff_0"
