"AIC","AICc","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","iv","dv","dframe"
21575.218948707,21575.2245451999,21611.62154474,0.55886950441739,0.011968213814626,0.553526008221111,0.634359284874291,0.639314527725482,"trial_mean_angle_sd","arousal","cutoff_0"
21580.0589723654,21580.0645688583,21616.4615683984,0.558407882370805,0.0207325706376875,0.549058710227139,0.634617774895061,0.639573241763653,"trial_sd_angle_sd","arousal","cutoff_0"
21577.1816779438,21577.1872744367,21613.5842739768,0.559262145818384,0.000580909477946265,0.559005968205597,0.634323828491341,0.639280942332489,"trial_sd_x_flips","arousal","cutoff_0"
21584.5152131605,21584.5208096534,21620.9178091935,0.558771880345333,0.00450300086950141,0.556776042479233,0.634585617142394,0.639543906699409,"trial_sd_y_flips","arousal","cutoff_0"
19654.8862570145,19654.8918535074,19691.2888530475,0.643819788925158,0.0339684989317362,0.631295448770596,0.578589607567839,0.583134121989281,"clicks","valence","cutoff_0"
19663.1481284044,19663.1537248972,19699.5507244373,0.643622332782907,6.5514326687331e-05,0.643598983410274,0.578562700360959,0.583110433021602,"task_total_dist","valence","cutoff_0"
19662.0754813922,19662.081077885,19698.4780774251,0.64354995287969,0.00768599453164538,0.640789059555728,0.57858497271608,0.583132108382405,"task_angle_sd","valence","cutoff_0"
19661.4892007512,19661.4947972441,19697.8917967842,0.643598061927876,0.00128783634680186,0.643138482695116,0.578523500822506,0.58307080069973,"task_x_flips","valence","cutoff_0"
19662.2796048906,19662.2852013834,19698.6822009236,0.64350677199234,0.00684299457670178,0.641050482390025,0.578585625934745,0.583132838833292,"task_y_flips","valence","cutoff_0"
19663.0748164077,19663.0804129006,19699.4774124407,0.643563671167715,0.000942327794915693,0.643227474500475,0.578581480276144,0.583129258743727,"trial_sd_duration","valence","cutoff_0"
19662.2386865858,19662.2442830786,19698.6412826187,0.643705883403758,0.00723793052594018,0.641108249849838,0.578584587341269,0.583131807999597,"trial_mean_trial_move_offset","valence","cutoff_0"
19659.5879336618,19659.5935301547,19695.9905296948,0.64332584486866,0.0143123637039284,0.638146871283059,0.578580398032608,0.583126766758662,"trial_sd_trial_move_offset","valence","cutoff_0"
19660.7079359284,19660.7135324213,19697.1105319614,0.643702644337779,0.00021531805917267,0.643625910560501,0.578495476822151,0.583042688446926,"trial_sd_total_dist","valence","cutoff_0"
19661.2174362349,19661.2230327278,19697.6200322679,0.643280795836618,0.0094448516201847,0.639879511255033,0.578583058159166,0.583129928500356,"trial_sd_distance_overshoot","valence","cutoff_0"
19661.3278420872,19661.33343858,19697.7304381201,0.6434713454683,0.00494033546667603,0.641701229343961,0.578550599909797,0.583097716743951,"trial_mean_speed_mean","valence","cutoff_0"
19661.9893682266,19661.9949647195,19698.3919642596,0.643333902588157,0.00778649201518938,0.640534930696284,0.578585382074201,0.583132450823837,"trial_sd_speed_mean","valence","cutoff_0"
19661.9433849846,19661.9489814775,19698.3459810176,0.64360692648867,0.00772921607353444,0.640830830369645,0.578586252073371,0.583133409322083,"trial_mean_speed_sd","valence","cutoff_0"
19661.1229159817,19661.1285124746,19697.5255120147,0.643864248540802,0.00824231389182556,0.640904470469259,0.578559546662152,0.583106514337272,"trial_sd_speed_sd","valence","cutoff_0"
