"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"ran_pars","ID","sd__(Intercept)",0.714440772041284,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_sd_abs_jerk_sd_within",-0.0104709316211167,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"ran_pars","ID","sd__mo_ep_sd_abs_jerk_sd_within",0.0562822406621914,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"ran_pars","Residual","sd__Observation",0.637516470702657,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"fixed",NA,"(Intercept)",-0.0521826982480738,0.054618295245995,-0.955406938518467,169.452145373603,0.340732943818413,-0.160002624608463,0.0556372281123156,"mo_ep_mean_angle_mean","arousal","3000"
"fixed",NA,"mo_ep_mean_angle_mean_within",-0.00639152731343324,0.00968291160292425,-0.660083203847796,118.597261820708,0.510480373738201,-0.0255653281613562,0.0127822735344897,"mo_ep_mean_angle_mean","arousal","3000"
"fixed",NA,"mo_ep_mean_angle_mean_between",-0.351942493112734,0.103468787134505,-3.40143634481019,168.773743559481,0.000836915300182903,-0.556202246819079,-0.147682739406389,"mo_ep_mean_angle_mean","arousal","3000"
"ran_pars","ID","sd__(Intercept)",0.699710648139837,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_mean","arousal","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_mean_angle_mean_within",0.089711121450812,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_mean","arousal","3000"
"ran_pars","ID","sd__mo_ep_mean_angle_mean_within",0.0700538595138593,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_mean","arousal","3000"
"ran_pars","Residual","sd__Observation",0.636675555842945,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_mean","arousal","3000"
"fixed",NA,"(Intercept)",-0.0555453304182681,0.0560646173495932,-0.990737706670017,169.929372675242,0.323222308802444,-0.166218151530943,0.0551274906944069,"mo_ep_sd_angle_mean","arousal","3000"
"fixed",NA,"mo_ep_sd_angle_mean_within",0.00220602519760421,0.00897814659504253,0.245710534379369,119.623798645842,0.806327388415021,-0.0155706496175079,0.0199827000127163,"mo_ep_sd_angle_mean","arousal","3000"
"fixed",NA,"mo_ep_sd_angle_mean_between",-0.401328829561973,0.194103853906561,-2.06759846074549,169.40954670982,0.0401981997864733,-0.784502654177041,-0.0181550049469053,"mo_ep_sd_angle_mean","arousal","3000"
"ran_pars","ID","sd__(Intercept)",0.714041003045714,NA,NA,NA,NA,NA,NA,"mo_ep_sd_angle_mean","arousal","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_sd_angle_mean_within",0.026785842175539,NA,NA,NA,NA,NA,NA,"mo_ep_sd_angle_mean","arousal","3000"
"ran_pars","ID","sd__mo_ep_sd_angle_mean_within",0.0657144804791968,NA,NA,NA,NA,NA,NA,"mo_ep_sd_angle_mean","arousal","3000"
"ran_pars","Residual","sd__Observation",0.6367115228772,NA,NA,NA,NA,NA,NA,"mo_ep_sd_angle_mean","arousal","3000"
"fixed",NA,"(Intercept)",-0.0536334760592201,0.054921610600911,-0.97654594379886,169.467105372181,0.330185930625957,-0.162052097040484,0.0547851449220436,"mo_ep_mean_angle_sd","arousal","3000"
"fixed",NA,"mo_ep_mean_angle_sd_within",-0.0182057782247203,0.0110538615304831,-1.64700617739008,111.196660047401,0.102380040969876,-0.0401093159007421,0.00369775945130162,"mo_ep_mean_angle_sd","arousal","3000"
"fixed",NA,"mo_ep_mean_angle_sd_between",-0.305882816921112,0.0992908059823317,-3.08067614010044,168.668973626291,0.00241227556244551,-0.501895615654969,-0.109870018187254,"mo_ep_mean_angle_sd","arousal","3000"
"ran_pars","ID","sd__(Intercept)",0.703420648035729,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_sd","arousal","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_mean_angle_sd_within",0.0518742557006074,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_sd","arousal","3000"
"ran_pars","ID","sd__mo_ep_mean_angle_sd_within",0.0904380653068738,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_sd","arousal","3000"
"ran_pars","Residual","sd__Observation",0.635329764164705,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_sd","arousal","3000"
"fixed",NA,"(Intercept)",-0.0744961545392289,0.0561842544648989,-1.32592583542726,170.06633133028,0.186642395251309,-0.185404501449825,0.0364121923713675,"mo_ep_mean_y_flips","arousal","3000"
"fixed",NA,"mo_ep_mean_y_flips_within",-0.00300790752612157,0.00787216926930272,-0.382093857896426,118.028366150297,0.703078850444858,-0.0185969070602385,0.0125810920079953,"mo_ep_mean_y_flips","arousal","3000"
"fixed",NA,"mo_ep_mean_y_flips_between",0.000668573839318108,0.0998222881949352,0.00669764089170649,169.677414948276,0.994663963707383,-0.196384976529475,0.197722124208112,"mo_ep_mean_y_flips","arousal","3000"
"ran_pars","ID","sd__(Intercept)",0.723034927474794,NA,NA,NA,NA,NA,NA,"mo_ep_mean_y_flips","arousal","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_mean_y_flips_within",-0.114522682581072,NA,NA,NA,NA,NA,NA,"mo_ep_mean_y_flips","arousal","3000"
"ran_pars","ID","sd__mo_ep_mean_y_flips_within",0.0251059049537294,NA,NA,NA,NA,NA,NA,"mo_ep_mean_y_flips","arousal","3000"
"ran_pars","Residual","sd__Observation",0.639018419476828,NA,NA,NA,NA,NA,NA,"mo_ep_mean_y_flips","arousal","3000"
"fixed",NA,"(Intercept)",-0.0769107860705231,0.0559219003105686,-1.37532497363985,170.191185332267,0.170838316923814,-0.187300662616942,0.033479090475896,"movement_distance","arousal","3000"
"fixed",NA,"movement_distance_within",-0.00372608769512729,0.00917997626712174,-0.405892955134573,117.237366291191,0.685561112524918,-0.0219061650491849,0.0144539896589303,"movement_distance","arousal","3000"
"fixed",NA,"movement_distance_between",0.110216727966515,0.1169484146857,0.942438837351698,170.497125340104,0.347301477932462,-0.12063657113827,0.3410700270713,"movement_distance","arousal","3000"
"ran_pars","ID","sd__(Intercept)",0.721233311648747,NA,NA,NA,NA,NA,NA,"movement_distance","arousal","3000"
"ran_pars","ID","cor__(Intercept).movement_distance_within",-0.0682505855735571,NA,NA,NA,NA,NA,NA,"movement_distance","arousal","3000"
"ran_pars","ID","sd__movement_distance_within",0.0666515451219853,NA,NA,NA,NA,NA,NA,"movement_distance","arousal","3000"
"ran_pars","Residual","sd__Observation",0.636702792151462,NA,NA,NA,NA,NA,NA,"movement_distance","arousal","3000"
"fixed",NA,"(Intercept)",-0.0799211332059413,0.055011371419779,-1.4528111396475,170.342078150245,0.148115821943828,-0.188512936169987,0.0286706697581044,"no_movement","arousal","3000"
"fixed",NA,"no_movement_within",-0.00484195443551982,0.00878639959246212,-0.551073779944375,128.322103135189,0.582541314513241,-0.0222269307628963,0.0125430218918566,"no_movement","arousal","3000"
"fixed",NA,"no_movement_between",-0.315128865888455,0.122008411946939,-2.58284540270472,171.989454426063,0.0106307330484036,-0.555955539124991,-0.0743021926519201,"no_movement","arousal","3000"
"ran_pars","ID","sd__(Intercept)",0.709487159455008,NA,NA,NA,NA,NA,NA,"no_movement","arousal","3000"
"ran_pars","ID","cor__(Intercept).no_movement_within",0.0988069404095989,NA,NA,NA,NA,NA,NA,"no_movement","arousal","3000"
"ran_pars","ID","sd__no_movement_within",0.0606311305381066,NA,NA,NA,NA,NA,NA,"no_movement","arousal","3000"
"ran_pars","Residual","sd__Observation",0.636970150651455,NA,NA,NA,NA,NA,NA,"no_movement","arousal","3000"
"fixed",NA,"(Intercept)",-0.0393114785926945,0.0581575237752508,-0.675948287355104,170.446799331279,0.499989588750332,-0.154113244842451,0.0754902876570621,"lockscreen_episodes.","arousal","3000"
"fixed",NA,"lockscreen_episodes._within",-0.0160518584580405,0.0123550672470805,-1.29921255279557,84.341626377296,0.19741135488729,-0.0406198106977595,0.00851609378167853,"lockscreen_episodes.","arousal","3000"
"fixed",NA,"lockscreen_episodes._between",-0.386046052223782,0.196680678365786,-1.96280618630884,172.14034924878,0.0512801857379301,-0.774262393391577,0.00217028894401278,"lockscreen_episodes.","arousal","3000"
"ran_pars","ID","sd__(Intercept)",0.714350386544152,NA,NA,NA,NA,NA,NA,"lockscreen_episodes.","arousal","3000"
"ran_pars","ID","cor__(Intercept).lockscreen_episodes._within",-0.335551336887598,NA,NA,NA,NA,NA,NA,"lockscreen_episodes.","arousal","3000"
"ran_pars","ID","sd__lockscreen_episodes._within",0.0480347786670503,NA,NA,NA,NA,NA,NA,"lockscreen_episodes.","arousal","3000"
"ran_pars","Residual","sd__Observation",0.638784798612619,NA,NA,NA,NA,NA,NA,"lockscreen_episodes.","arousal","3000"
"fixed",NA,"(Intercept)",-0.0374086304204741,0.058296941948806,-0.641691127697998,170.387859661611,0.521936055335893,-0.152485889919175,0.0776686290782265,"lockscreen_time","arousal","3000"
"fixed",NA,"lockscreen_time_within",-0.0176300268609967,0.0116874008145954,-1.50846429763751,67.1568700608255,0.136126141919763,-0.0409571749072903,0.00569712118529693,"lockscreen_time","arousal","3000"
"fixed",NA,"lockscreen_time_between",-0.387524759159392,0.191587721501013,-2.02270143474379,170.315055360062,0.0446681435976215,-0.765717107086356,-0.00933241123242806,"lockscreen_time","arousal","3000"
"ran_pars","ID","sd__(Intercept)",0.714527210097945,NA,NA,NA,NA,NA,NA,"lockscreen_time","arousal","3000"
"ran_pars","ID","cor__(Intercept).lockscreen_time_within",-0.275022137132161,NA,NA,NA,NA,NA,NA,"lockscreen_time","arousal","3000"
"ran_pars","ID","sd__lockscreen_time_within",0.0383346990224848,NA,NA,NA,NA,NA,NA,"lockscreen_time","arousal","3000"
"ran_pars","Residual","sd__Observation",0.638921130324229,NA,NA,NA,NA,NA,NA,"lockscreen_time","arousal","3000"
"fixed",NA,"(Intercept)",-0.0550924390423461,0.0609108595461197,-0.904476466969439,169.559932956243,0.367026104231701,-0.175333730630964,0.065148852546272,"recording_duration","valence","3000"
"fixed",NA,"recording_duration_within",0.0144554511650053,0.00607346637631844,2.38009898620164,139.718253091376,0.018658180614962,0.00244767078000087,0.0264632315500097,"recording_duration","valence","3000"
"fixed",NA,"recording_duration_between",-0.039771113371559,0.220070150938472,-0.180720162193547,172.151268698872,0.85679980940138,-0.474154353988776,0.394612127245658,"recording_duration","valence","3000"
"ran_pars","ID","sd__(Intercept)",0.784882145217288,NA,NA,NA,NA,NA,NA,"recording_duration","valence","3000"
"ran_pars","ID","cor__(Intercept).recording_duration_within",-0.164581563835923,NA,NA,NA,NA,NA,NA,"recording_duration","valence","3000"
"ran_pars","ID","sd__recording_duration_within",0.0187127521440246,NA,NA,NA,NA,NA,NA,"recording_duration","valence","3000"
"ran_pars","Residual","sd__Observation",0.582410821128904,NA,NA,NA,NA,NA,NA,"recording_duration","valence","3000"
"fixed",NA,"(Intercept)",-0.0529548846576553,0.0600950698216509,-0.881185175669383,169.719209195609,0.379463787581615,-0.17158496353866,0.0656751942233495,"movement_episodes","valence","3000"
"fixed",NA,"movement_episodes_within",-0.00167068577864383,0.00859103513897822,-0.194468507184169,101.53953427118,0.846197602925769,-0.0187118908053052,0.0153705192480175,"movement_episodes","valence","3000"
"fixed",NA,"movement_episodes_between",0.278673187166234,0.160654516634504,1.73461159389766,168.92902168429,0.0846336461675742,-0.0384759269785962,0.595822301311064,"movement_episodes","valence","3000"
"ran_pars","ID","sd__(Intercept)",0.777982975422134,NA,NA,NA,NA,NA,NA,"movement_episodes","valence","3000"
"ran_pars","ID","cor__(Intercept).movement_episodes_within",0.00722582085913015,NA,NA,NA,NA,NA,NA,"movement_episodes","valence","3000"
"ran_pars","ID","sd__movement_episodes_within",0.0592900705475727,NA,NA,NA,NA,NA,NA,"movement_episodes","valence","3000"
"ran_pars","Residual","sd__Observation",0.580808909554361,NA,NA,NA,NA,NA,NA,"movement_episodes","valence","3000"
"fixed",NA,"(Intercept)",-0.0541735047764741,0.0609414348289083,-0.888943703550219,169.613713793177,0.375292313246566,-0.174474879436955,0.0661278698840069,"mo_ep_mean_total_dist","valence","3000"
"fixed",NA,"mo_ep_mean_total_dist_within",-0.00418157245256957,0.00771543854234241,-0.541974695232301,115.041058776404,0.588884166958932,-0.0194643133068328,0.0111011684016937,"mo_ep_mean_total_dist","valence","3000"
"fixed",NA,"mo_ep_mean_total_dist_between",0.00377364046250261,0.113415399530116,0.0332727343741409,169.075314168746,0.973496343373494,-0.220119031265065,0.22766631219007,"mo_ep_mean_total_dist","valence","3000"
"ran_pars","ID","sd__(Intercept)",0.784969288704622,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","valence","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_mean_total_dist_within",-0.282061015122232,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","valence","3000"
"ran_pars","ID","sd__mo_ep_mean_total_dist_within",0.0426240511301434,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","valence","3000"
"ran_pars","Residual","sd__Observation",0.581730834863736,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","valence","3000"
"fixed",NA,"(Intercept)",-0.0628307329436417,0.0608245187146206,-1.03298364329743,169.730818770019,0.303081165470362,-0.18290071423107,0.0572392483437862,"mo_ep_sd_total_dist","valence","3000"
"fixed",NA,"mo_ep_sd_total_dist_within",-0.0086814534339602,0.00849790083240823,-1.02159975800753,94.6804952166479,0.309573616747919,-0.0255526539085304,0.00818974704060998,"mo_ep_sd_total_dist","valence","3000"
"fixed",NA,"mo_ep_sd_total_dist_between",0.169294726244313,0.141998194001034,1.19223154516374,170.201596862049,0.23483006398733,-0.11100970104203,0.449599153530656,"mo_ep_sd_total_dist","valence","3000"
"ran_pars","ID","sd__(Intercept)",0.781611619650956,NA,NA,NA,NA,NA,NA,"mo_ep_sd_total_dist","valence","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_sd_total_dist_within",-0.103785927743332,NA,NA,NA,NA,NA,NA,"mo_ep_sd_total_dist","valence","3000"
"ran_pars","ID","sd__mo_ep_sd_total_dist_within",0.0577194751357733,NA,NA,NA,NA,NA,NA,"mo_ep_sd_total_dist","valence","3000"
"ran_pars","Residual","sd__Observation",0.58090949031053,NA,NA,NA,NA,NA,NA,"mo_ep_sd_total_dist","valence","3000"
"fixed",NA,"(Intercept)",-0.032541301692177,0.0612895406382974,-0.530943801393794,169.610948265686,0.596152276746271,-0.153529868430409,0.0884472650460546,"mo_ep_sd_speed_mean","valence","3000"
"fixed",NA,"mo_ep_sd_speed_mean_within",-0.010077732124677,0.0072976325191311,-1.38095911218572,107.597094107286,0.170153100354226,-0.0245435194541948,0.0043880552048409,"mo_ep_sd_speed_mean","valence","3000"
"fixed",NA,"mo_ep_sd_speed_mean_between",-0.31858263638766,0.180329542604847,-1.76666913133454,169.470456790401,0.0790838424711709,-0.674564140516088,0.0373988677407686,"mo_ep_sd_speed_mean","valence","3000"
"ran_pars","ID","sd__(Intercept)",0.777750644672363,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","valence","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_sd_speed_mean_within",0.0195529424999771,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","valence","3000"
"ran_pars","ID","sd__mo_ep_sd_speed_mean_within",0.0378284934495073,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","valence","3000"
"ran_pars","Residual","sd__Observation",0.581853190869539,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","valence","3000"
