"AIC","AICc","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","pseudo_R2","iv","dv","dframe"
19660.9539825329,19660.9595748528,19697.3603060844,0.64381720867482,0.00952321261946177,0.640392590858027,0.578137390058949,0.582703859222059,0.640355679420004,"lockscreen_episodes.","valence","2000"
19657.848680182,19657.8542725019,19694.2550037336,0.644155452161615,0.0109946334081315,0.640199578426321,0.578054057128127,0.58261981069761,0.640459325446706,"lockscreen_time","valence","2000"
21598.5618124284,21598.5674047483,21634.96813598,0.561035240352165,0.00118154998974396,0.560515967998661,0.634378496814319,0.639361353275476,0.565384686330927,"recording_duration","arousal","3000"
21597.5891134574,21597.5947057773,21633.995437009,0.561413549008145,0.00431387747518507,0.559513343542734,0.634359364357814,0.639341674975872,0.565410878319765,"movement_episodes","arousal","3000"
21599.4974709077,21599.5030632276,21635.9037944593,0.56120044615038,0.000136398178921186,0.56114058652558,0.634362166752776,0.639345141612458,0.565407062248747,"mo_ep_mean_total_dist","arousal","3000"
21598.015422889,21598.0210152089,21634.4217464406,0.561049773922336,0.00294538113307556,0.559753078947172,0.634359576544202,0.639341983963066,0.565410590998574,"mo_ep_sd_total_dist","arousal","3000"
21594.7232265289,21594.7288188487,21631.1295500804,0.561231137048375,0.0128923274809649,0.555500503980568,0.634360363232083,0.639341085571988,0.565409454717775,"mo_ep_sd_speed_mean","arousal","3000"
21580.8906532387,21580.8962455585,21617.2969767902,0.56347591709959,0.0438789441272149,0.543442663228525,0.634166400563249,0.639140665030561,0.565674910409102,"mo_ep_mean_speed_sd","arousal","3000"
21593.4383657711,21593.443958091,21629.8446893227,0.561489466022629,0.0138968289258261,0.555309680730774,0.63432196604079,0.639302308299942,0.565462042370696,"mo_ep_sd_abs_jerk_sd","arousal","3000"
21588.6486644676,21588.6542567875,21625.0549880191,0.561368365666548,0.0360885332369107,0.54494613928972,0.634367718257918,0.639344189702437,0.565399230974112,"mo_ep_mean_angle_mean","arousal","3000"
21594.8748504605,21594.8804427804,21631.281174012,0.561157194410852,0.0139149458078964,0.554964550244918,0.634383788356677,0.639364478451638,0.56537736162645,"mo_ep_sd_angle_mean","arousal","3000"
21586.6606437214,21586.6662360413,21623.0669672729,0.561829399206489,0.0313723251738614,0.547637743395924,0.634253823381998,0.639230514057663,0.56555525740655,"mo_ep_mean_angle_sd","arousal","3000"
21600.0625492793,21600.0681415992,21636.4688728309,0.561191984545223,4.89854877226707e-06,0.561189835012228,0.634376249924622,0.639359356298961,0.565387773238933,"mo_ep_mean_y_flips","arousal","3000"
21599.0088374615,21599.0144297814,21635.4151610131,0.561086472603562,0.00261962515850472,0.559933663757731,0.634375208807043,0.639357809763761,0.565389181988874,"movement_distance","arousal","3000"
21593.0707988504,21593.0763911703,21629.477122402,0.559793204589412,0.0177350149198035,0.551845172028964,0.634364721883228,0.639344002332585,0.565403433450452,"no_movement","arousal","3000"
21592.093417376,21592.0990096959,21628.4997409275,0.559890278098562,0.0105200115292626,0.555211093675944,0.634326403941924,0.639306741439407,0.565455962824104,"lockscreen_episodes.","arousal","3000"
21591.3989562523,21591.4045485722,21627.8052798038,0.560331324650514,0.0111403734382587,0.555378070314984,0.634298656208668,0.639278844904756,0.565493967956393,"lockscreen_time","arousal","3000"
19664.7763601637,19664.7819524836,19701.1826837153,0.644757599983555,0.000218789858303396,0.644679859540372,0.578126406587882,0.582693985506107,0.640369368702886,"recording_duration","valence","3000"
19667.7991300611,19667.804722381,19704.2054536126,0.645045840417073,0.0127003217773263,0.640479818425636,0.578281055267234,0.582848683540446,0.640176957879738,"movement_episodes","valence","3000"
19671.3411453656,19671.3467376855,19707.7474689172,0.644569709965041,0.000107111660673061,0.644531635158166,0.578277656485636,0.582846387497068,0.640181212501232,"mo_ep_mean_total_dist","valence","3000"
19668.6419377585,19668.6475300784,19705.0482613101,0.644356394861022,0.00480916254338865,0.642637781867156,0.578254358469388,0.582822378976796,0.640210186389495,"mo_ep_sd_total_dist","valence","3000"
19665.2370789185,19665.2426712384,19701.6434024701,0.644647596568152,0.0117969998723832,0.640405459823581,0.578217989629951,0.582785097155943,0.640255417605807,"mo_ep_sd_speed_mean","valence","3000"
19657.8196406788,19657.8252329987,19694.2259642304,0.646705702291434,0.0584251574966125,0.624783626579004,0.578297821713698,0.58286107157467,0.640155993597126,"mo_ep_mean_speed_sd","valence","3000"
19665.2920330763,19665.2976253962,19701.6983566279,0.644825781079514,0.0177351934351694,0.638412965071406,0.578254706861094,0.582821544064345,0.64020972569599,"mo_ep_sd_abs_jerk_sd","valence","3000"
19659.983447673,19659.9890399929,19696.3897712246,0.644875549838863,0.046395564028707,0.627597736791749,0.578303660538256,0.582867780682994,0.640148747769428,"mo_ep_mean_angle_mean","valence","3000"
19666.7973382845,19666.8029306044,19703.2036618361,0.644597385408902,0.00871176528682769,0.641473990969001,0.578246459117251,0.582814091998291,0.640220006549872,"mo_ep_sd_angle_mean","valence","3000"
19658.9799514798,19658.9855437996,19695.3862750313,0.645294813248718,0.0449828466478455,0.628587627451244,0.578256317221025,0.582820351827032,0.640207657555232,"mo_ep_mean_angle_sd","valence","3000"
19671.5146392088,19671.5202315287,19707.9209627604,0.644560529310369,0.000112999882239536,0.644520360152928,0.578281071414474,0.582849828053672,0.640176963723545,"mo_ep_mean_y_flips","valence","3000"
19669.0835894685,19669.0891817884,19705.4899130201,0.644403402295641,0.00487657479889812,0.642660811011964,0.578256614802026,0.582824657884639,0.640207379356375,"movement_distance","valence","3000"
19661.8107943855,19661.8163867054,19698.2171179371,0.642831484367058,0.0251546144492136,0.633615216395426,0.578240106610895,0.582805464087079,0.640227858528694,"no_movement","valence","3000"
19660.9539825329,19660.9595748528,19697.3603060844,0.64381720867482,0.00952321261946177,0.640392590858027,0.578137390058949,0.582703859222059,0.640355679420004,"lockscreen_episodes.","valence","3000"
19657.848680182,19657.8542725019,19694.2550037336,0.644155452161615,0.0109946334081315,0.640199578426321,0.578054057128127,0.58261981069761,0.640459325446706,"lockscreen_time","valence","3000"
