"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","dframe"
"fixed",NA,"screen_height",-0.695912508919318,0.385642368628122,-1.8045540779011,NA,0.0711444896310016,-1.45175766234316,0.0599326445045204,"stress","by_participant_iqr_out2.5"
"fixed",NA,"median_sampling_freq",0.119793478222637,0.107106577699082,1.11845118008718,NA,0.263374346080853,-0.090131556574904,0.329718513020178,"stress","by_participant_iqr_out2.5"
"ran_pars","ID","sd__(Intercept)",1.66855576945681,NA,NA,NA,NA,NA,NA,"stress","by_participant_iqr_out2.5"
"fixed",NA,"(Intercept)",67.6414962982418,1.34418944142312,50.3214012949161,166.593823767649,1.13508302801276e-102,64.9876548989499,70.2953376975338,"arousal","by_participant_iqr_out3.5"
"fixed",NA,"timestamp",-1.08015479644534,0.168161649723805,-6.4233123201362,9365.57825790227,1.39824628473956e-10,-1.40978817370838,-0.750521419182308,"arousal","by_participant_iqr_out3.5"
"fixed",NA,"zoom",-1.39395126310072,1.12666862187453,-1.23723270182273,416.839871931881,0.216697224616421,-3.60861149313446,0.820708966933017,"arousal","by_participant_iqr_out3.5"
"fixed",NA,"screen_width",-4.46407454011291,2.86455244502454,-1.55838464325085,282.165653638788,0.120262961020919,-10.1026793954443,1.17453031521847,"arousal","by_participant_iqr_out3.5"
"fixed",NA,"screen_height",4.28099425215475,2.66565781602991,1.60598041744556,333.257235803034,0.109225310942269,-0.962642314026372,9.52463081833587,"arousal","by_participant_iqr_out3.5"
"fixed",NA,"median_sampling_freq",0.065047918892944,0.594858023792285,0.109350326113543,3167.63007852867,0.912931557919295,-1.10129804641741,1.2313938842033,"arousal","by_participant_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",17.2418567667865,NA,NA,NA,NA,NA,NA,"arousal","by_participant_iqr_out3.5"
"ran_pars","Residual","sd__Observation",16.2544370332175,NA,NA,NA,NA,NA,NA,"arousal","by_participant_iqr_out3.5"
"fixed",NA,"(Intercept)",68.6846247190838,1.43297828421899,47.9313786367104,167.000861690877,1.56077797854042e-99,65.8555374170389,71.5137120211288,"valence","by_participant_iqr_out3.5"
"fixed",NA,"timestamp",-0.484324291650558,0.147959330206277,-3.27336093624742,9365.04243958682,0.00106662025950394,-0.774356734566367,-0.194291848734749,"valence","by_participant_iqr_out3.5"
"fixed",NA,"zoom",-2.64032007078386,1.10948993381325,-2.37976027570547,560.698604809407,0.0176573314407904,-4.81958452298554,-0.461055618582174,"valence","by_participant_iqr_out3.5"
"fixed",NA,"screen_width",-2.8891702073732,2.89965901931023,-0.996382742982129,348.689387370643,0.319755148547237,-8.59219246376244,2.81385204901604,"valence","by_participant_iqr_out3.5"
"fixed",NA,"screen_height",2.46857651548649,2.66777402236058,0.925331941459636,412.395306682413,0.355334420045044,-2.77555501733378,7.71270804830677,"valence","by_participant_iqr_out3.5"
"fixed",NA,"median_sampling_freq",-0.443535894200433,0.541258377069831,-0.819453172441541,4746.52311395618,0.412569052019565,-1.50465340366882,0.617581615267954,"valence","by_participant_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",18.4565935179041,NA,NA,NA,NA,NA,NA,"valence","by_participant_iqr_out3.5"
"ran_pars","Residual","sd__Observation",14.3001188867502,NA,NA,NA,NA,NA,NA,"valence","by_participant_iqr_out3.5"
"fixed",NA,"(Intercept)",-3.89088707449347,0.181408447542106,-21.448213284502,NA,4.74531652382427e-102,-4.24644109816732,-3.53533305081962,"stress","by_participant_iqr_out3.5"
"fixed",NA,"timestamp",-0.0101185909856136,0.0499866383442913,-0.202425914619825,NA,0.839583770793113,-0.108090601848653,0.0878534198774262,"stress","by_participant_iqr_out3.5"
"fixed",NA,"zoom",0.250093014751813,0.157249769120978,1.59041896309181,NA,0.111740398683956,-0.0581108693025428,0.558296898806169,"stress","by_participant_iqr_out3.5"
"fixed",NA,"screen_width",0.591313710152693,0.395763929096303,1.49410713478339,NA,0.135147619450054,-0.184369337256124,1.36699675756151,"stress","by_participant_iqr_out3.5"
"fixed",NA,"screen_height",-0.687864376737958,0.391067411617001,-1.75894067443193,NA,0.078587585614673,-1.45434241903458,0.0786136655586654,"stress","by_participant_iqr_out3.5"
"fixed",NA,"median_sampling_freq",0.138584172244965,0.109225359274772,1.26879117784668,NA,0.204515552469484,-0.0754935981320358,0.352661942621965,"stress","by_participant_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",1.68163640510568,NA,NA,NA,NA,NA,NA,"stress","by_participant_iqr_out3.5"
