"Name","Model","log_BF","BF","df","df_diff","Chi2","p","iv","dv","dframe"
"..2","lmerModLmerTest",-7.95889424155212,0.000349539410002824,5,2,2.64324993008995,0.266701568933825,"trial_mean_speed_mean","valence","cutoff_0"
"..3","lmerModLmerTest",17.9757604690622,64087536.7854703,7,2,54.5125593513221,1.4546152610584e-12,"trial_mean_speed_mean","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_speed_mean","valence","cutoff_0"
"..2","lmerModLmerTest",-8.17550430849406,0.000281464477473653,5,2,2.21002979620607,0.331205947864887,"trial_sd_speed_mean","valence","cutoff_0"
"..3","lmerModLmerTest",-4.60887660156368,0.00996300444704322,7,2,9.34328521007046,0.00935688722686993,"trial_sd_speed_mean","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_speed_sd","valence","cutoff_0"
"..2","lmerModLmerTest",-8.30023236341003,0.000248459087599089,5,2,1.96057368637412,0.375203458858304,"trial_mean_speed_sd","valence","cutoff_0"
"..3","lmerModLmerTest",12.4805391184873,263165.691498485,7,2,43.5221166501724,3.54235799206841e-10,"trial_mean_speed_sd","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_speed_sd","valence","cutoff_0"
"..2","lmerModLmerTest",-7.83213481908751,0.000396777527259721,5,2,2.89676877501915,0.234949569084177,"trial_sd_speed_sd","valence","cutoff_0"
"..3","lmerModLmerTest",-5.86988625421873,0.00282319444221015,7,2,6.82126590476037,0.0330202934866955,"trial_sd_speed_sd","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_abs_jerk_sd","valence","cutoff_0"
"..2","lmerModLmerTest",-8.25564053247945,0.000259789068170316,5,2,2.04975734823529,0.358839999344546,"trial_sd_abs_jerk_sd","valence","cutoff_0"
"..3","lmerModLmerTest",1.90723693475593,6.7344553281839,7,2,22.3755122827097,1.38426501489507e-05,"trial_sd_abs_jerk_sd","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_angle_mean","valence","cutoff_0"
"..2","lmerModLmerTest",-8.35400658014805,0.000235451271698706,5,2,1.85302525289808,0.395932068573613,"trial_mean_angle_mean","valence","cutoff_0"
"..3","lmerModLmerTest",-0.864970095884928,0.421064143989668,7,2,16.831098221428,0.000221397880542577,"trial_mean_angle_mean","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_angle_mean","valence","cutoff_0"
"..2","lmerModLmerTest",-9.02425739562022,0.000120452220309421,5,2,0.512523621953733,0.773939316456626,"trial_sd_angle_mean","valence","cutoff_0"
"..3","lmerModLmerTest",-9.21055620120569,9.99784194059945e-05,7,2,0.139926010786439,0.932428314086725,"trial_sd_angle_mean","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_angle_sd","valence","cutoff_0"
"..2","lmerModLmerTest",-8.37222883652976,0.000231199672768143,5,2,1.81658074013467,0.403212980086889,"trial_mean_angle_sd","valence","cutoff_0"
"..3","lmerModLmerTest",-7.55424660872086,0.000523880680406467,7,2,3.4525451957561,0.17794645334021,"trial_mean_angle_sd","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_angle_sd","valence","cutoff_0"
"..2","lmerModLmerTest",-6.17962206835728,0.00207121048272115,5,2,6.20179427647963,0.0450088051550806,"trial_sd_angle_sd","valence","cutoff_0"
"..3","lmerModLmerTest",-8.92135802357188,0.000133506816223708,7,2,0.718322366054053,0.698261794331009,"trial_sd_angle_sd","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_x_flips","valence","cutoff_0"
"..2","lmerModLmerTest",-8.87920564903652,0.00013925473877489,5,2,0.80262711512114,0.669440120114362,"trial_sd_x_flips","valence","cutoff_0"
"..3","lmerModLmerTest",-8.83278539021558,0.000145871364423391,7,2,0.895467632766668,0.639074772627811,"trial_sd_x_flips","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_y_flips","valence","cutoff_0"
"..2","lmerModLmerTest",-8.33771912339944,0.000239317574753701,5,2,1.88560016639531,0.389535574844008,"trial_sd_y_flips","valence","cutoff_0"
