"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"between","task_total_dist_between",-0.00781026846555446,0.95,-0.159666050562136,0.144045513631027,"task_total_dist","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_angle_sd","valence","cutoff_0"
"within","task_angle_sd_within",0.00260152920565017,0.95,-0.0163253145324048,0.0215283729437051,"task_angle_sd","valence","cutoff_0"
"between","task_angle_sd_between",-0.108257863349965,0.95,-0.259127227481759,0.0426115007818286,"task_angle_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_x_flips","valence","cutoff_0"
"within","task_x_flips_within",-0.0145097845307235,0.95,-0.0334346383921909,0.00441506933074381,"task_x_flips","valence","cutoff_0"
"between","task_x_flips_between",-0.0446360576048054,0.95,-0.1962904965807,0.10701838137109,"task_x_flips","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_y_flips","valence","cutoff_0"
"within","task_y_flips_within",-0.000975619233336522,0.95,-0.0199024866797923,0.0179512482131193,"task_y_flips","valence","cutoff_0"
"between","task_y_flips_between",-0.10391558606869,0.95,-0.254803464780392,0.0469722926430124,"task_y_flips","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_duration","valence","cutoff_0"
"within","trial_sd_duration_within",-0.00322635383272745,0.95,-0.0221531050794494,0.0157003974139945,"trial_sd_duration","valence","cutoff_0"
"between","trial_sd_duration_between",0.0398117526536227,0.95,-0.112078531375764,0.191702036683009,"trial_sd_duration","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_trial_move_offset","valence","cutoff_0"
"within","trial_mean_trial_move_offset_within",0.00163726037500925,0.95,-0.0172895736134565,0.020564094363475,"trial_mean_trial_move_offset","valence","cutoff_0"
"between","trial_mean_trial_move_offset_between",0.103236856980412,0.95,-0.0476163796195412,0.254090093580364,"trial_mean_trial_move_offset","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_trial_move_offset","valence","cutoff_0"
"within","trial_sd_trial_move_offset_within",0.00383950828001772,0.95,-0.0150871620838113,0.0227661786438467,"trial_sd_trial_move_offset","valence","cutoff_0"
"between","trial_sd_trial_move_offset_between",0.153724498125769,0.95,0.00368090905053502,0.303768087201003,"trial_sd_trial_move_offset","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_total_dist","valence","cutoff_0"
"within","trial_sd_total_dist_within",-0.0173858721966937,0.95,-0.0363098136127506,0.00153806921936327,"trial_sd_total_dist","valence","cutoff_0"
"between","trial_sd_total_dist_between",-0.0131095811710264,0.95,-0.165070787777182,0.13885162543513,"trial_sd_total_dist","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_distance_overshoot","valence","cutoff_0"
"within","trial_sd_distance_overshoot_within",0.00347880116989381,0.95,-0.0154479718152626,0.0224055741550502,"trial_sd_distance_overshoot","valence","cutoff_0"
"between","trial_sd_distance_overshoot_between",-0.125568119263955,0.95,-0.276236495084951,0.0251002565570408,"trial_sd_distance_overshoot","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_speed_mean","valence","cutoff_0"
"within","trial_mean_speed_mean_within",0.0108363163327677,0.95,-0.00808941114851182,0.0297620438140473,"trial_mean_speed_mean","valence","cutoff_0"
"between","trial_mean_speed_mean_between",-0.0909648352102871,0.95,-0.2422343547615,0.0603046843409256,"trial_mean_speed_mean","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_mean","valence","cutoff_0"
