"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv","dframe","Log_loss","Score_log","Score_spherical"
90923.2773761336,90988.802048993,0.536085238518346,0.0132285095326694,0.5298660673081,16.0922347455069,16.2176898399271,"arousal","trial_mean_angle_sd","by_sample_cutoffNA",NA,NA,NA
90930.9550683221,90996.4797411815,0.536389575029311,0.0124834172210299,0.530528972317565,16.0976574068867,16.223161954095,"arousal","trial_sd_angle_sd","by_sample_cutoffNA",NA,NA,NA
90922.4781644667,90988.002837326,0.537090313879847,0.0131595518583044,0.530917397040371,16.0911005779455,16.2165582217813,"arousal","trial_sd_x_flips","by_sample_cutoffNA",NA,NA,NA
90929.3569757009,90994.8816485603,0.53633340670976,0.0125520497685172,0.53043945943526,16.0965038932668,16.2219984745763,"arousal","trial_sd_y_flips","by_sample_cutoffNA",NA,NA,NA
88425.7216233266,88491.246296186,0.628499201130049,0.0180626316794772,0.62166548411804,14.2813351090545,14.3934390876826,"valence","clicks","by_sample_cutoffNA",NA,NA,NA
88425.6439735244,88491.1686463838,0.628585626267695,0.0180189049047443,0.621770342028553,14.2812332838119,14.3933372055171,"valence","task_total_dist","by_sample_cutoffNA",NA,NA,NA
88428.0126358478,88493.5373087072,0.628879770708887,0.0177297296651523,0.622181144539169,14.2826135769121,14.3947312852882,"valence","task_angle_sd","by_sample_cutoffNA",NA,NA,NA
88426.2250888021,88491.7497616615,0.629071611907642,0.0181569662130969,0.622212130322184,14.2814088156976,14.3935172462354,"valence","task_x_flips","by_sample_cutoffNA",NA,NA,NA
88428.4562965703,88493.9809694297,0.628781435982249,0.0177556640622736,0.622071056624259,14.2829616609487,14.3950812661053,"valence","task_y_flips","by_sample_cutoffNA",NA,NA,NA
88426.3483275831,88491.8730004424,0.628920865936933,0.0178104761469312,0.622191924215047,14.2815004785978,14.3936095267969,"valence","trial_sd_duration","by_sample_cutoffNA",NA,NA,NA
88428.0459110845,88493.5705839439,0.628616465271292,0.0178930777112544,0.621850201540969,14.2827941129866,14.3949108129151,"valence","trial_mean_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
88428.4521535923,88493.9768264517,0.628799245910939,0.0177654724718251,0.622085414749978,14.2829519893779,14.3950716654319,"valence","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
88422.1126881231,88487.6373609824,0.628906401866991,0.0180503777609729,0.622084891395093,14.2787323352784,14.3908189272063,"valence","trial_sd_total_dist","by_sample_cutoffNA",NA,NA,NA
88428.1636584112,88493.6883312706,0.628733784734374,0.0178011041295143,0.622005057400735,14.2827983525119,14.3949162660092,"valence","trial_sd_distance_overshoot","by_sample_cutoffNA",NA,NA,NA
88428.4142772092,88493.9389500686,0.628929091954628,0.0177287828238546,0.622231720163668,14.2828567617545,14.3949767430108,"valence","trial_mean_speed_mean","by_sample_cutoffNA",NA,NA,NA
88428.0498718553,88493.5745447146,0.628519520027399,0.0178183640492959,0.621780263064045,14.2828301201351,14.3949466848516,"valence","trial_sd_speed_mean","by_sample_cutoffNA",NA,NA,NA
88426.0354179712,88491.5600908306,0.627894866071549,0.0182466862497295,0.620978988594375,14.2818722048803,14.393975434505,"valence","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
