"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv","dframe","Log_loss","Score_log","Score_spherical"
90914.8700415048,90994.9557527774,0.538914466759559,0.0132686713307131,0.532714205129917,16.016654123149,16.1718694742972,"arousal","trial_mean_angle_sd","by_sample_cutoffNA",NA,NA,NA
90934.7871856089,91014.8728968814,NA,0.0263346458608851,NA,16.0975087568122,16.2230128123768,"arousal","trial_sd_angle_sd","by_sample_cutoffNA",NA,NA,NA
90922.6816626331,91002.7673739056,0.538511542382894,0.0128170404675337,0.532519830127873,16.0523566105767,16.1944866498537,"arousal","trial_sd_x_flips","by_sample_cutoffNA",NA,NA,NA
90932.742124515,91012.8278357876,0.536709256945141,0.0134525565760955,0.530391826421479,16.0856376506295,16.2163097130475,"arousal","trial_sd_y_flips","by_sample_cutoffNA",NA,NA,NA
88412.8197889004,88492.9055001729,0.629615906463291,0.0167166244314306,0.623319072874043,14.2150286282401,14.3509749774791,"valence","clicks","by_sample_cutoffNA",NA,NA,NA
88383.3776435048,88463.4633547774,0.633768563642105,0.0186030915391632,0.626826380641172,14.1600584169396,14.3091341638471,"valence","task_total_dist","by_sample_cutoffNA",NA,NA,NA
88424.0850078849,88504.1707191575,0.630046445047303,0.0177089677307765,0.623376837618017,14.2339925057938,14.3661927201601,"valence","task_angle_sd","by_sample_cutoffNA",NA,NA,NA
88415.5721633672,88495.6578746398,0.63246908866754,0.0185370457762335,0.625527474317012,14.1984964985841,14.3423482812709,"valence","task_x_flips","by_sample_cutoffNA",NA,NA,NA
88424.4115121566,88504.4972234292,0.630966262045788,0.0182711761717869,0.624098092062552,14.2281316559141,14.362610733919,"valence","task_y_flips","by_sample_cutoffNA",NA,NA,NA
88427.8106978369,88507.8964091095,0.629376614964421,0.0176007389862486,0.622736498546297,14.2598352613642,14.3808256500539,"valence","trial_sd_duration","by_sample_cutoffNA",NA,NA,NA
88411.768463993,88491.8541752656,0.633005451139891,0.0191017218941216,0.625858708235498,14.2129216991881,14.3482985068286,"valence","trial_mean_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
88432.4518544743,88512.5375657469,NA,0.0456943496858422,NA,14.2829474860545,14.3950672624482,"valence","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
88404.3389756502,88484.4246869228,0.631178545239159,0.0181445734218612,0.624362767901361,14.2054869307255,14.3424811223978,"valence","trial_sd_total_dist","by_sample_cutoffNA",NA,NA,NA
88421.2203859135,88501.3060971861,0.630701991354193,0.0178108863543439,0.624005190532952,14.2182512522757,14.3551639500637,"valence","trial_sd_distance_overshoot","by_sample_cutoffNA",NA,NA,NA
88393.949281968,88474.0349932406,0.639191663460961,0.0199128781838688,0.631860955513373,14.1478739263149,14.30313983261,"valence","trial_mean_speed_mean","by_sample_cutoffNA",NA,NA,NA
88425.7865096905,88505.8722209631,0.62940262467925,0.0178886919922075,0.622652369136748,14.2349903843826,14.367156657576,"valence","trial_sd_speed_mean","by_sample_cutoffNA",NA,NA,NA
88395.8434190171,88475.9291302897,0.634758463244377,0.0208462998231256,0.626982427079992,14.1705845480002,14.3192200867102,"valence","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
88422.931989338,88503.0177006106,0.62953011442781,0.0186367318987408,0.622494648399695,14.2391406885532,14.3684925050291,"valence","trial_sd_speed_sd","by_sample_cutoffNA",NA,NA,NA
88412.0253722243,88492.1110834969,0.630613309843425,0.0177880699527219,0.623923637194271,14.2308855202454,14.3586170583871,"valence","trial_sd_abs_jerk_sd","by_sample_cutoffNA",NA,NA,NA
88415.7910759079,88495.8767871805,0.631087437341521,0.017676447099271,0.624449030496004,14.2106239992843,14.3501185272175,"valence","trial_mean_angle_mean","by_sample_cutoffNA",NA,NA,NA
88432.2207213536,88512.3064326262,NA,0.045775611745192,NA,14.282788367679,14.394906924649,"valence","trial_sd_angle_mean","by_sample_cutoffNA",NA,NA,NA
88428.9545376256,88509.0402488981,0.630341565128713,0.018448467550327,0.623393757076896,14.2523969908017,14.3777521657722,"valence","trial_mean_angle_sd","by_sample_cutoffNA",NA,NA,NA
88430.8316976101,88510.9174088827,0.629403275523616,0.0178044730822631,0.622685387664749,14.2659157169853,14.3857014455326,"valence","trial_sd_angle_sd","by_sample_cutoffNA",NA,NA,NA
88425.7767457816,88505.8624570542,0.63021754839015,0.017850558964691,0.62349675501515,14.2392190650861,14.3694023532991,"valence","trial_sd_x_flips","by_sample_cutoffNA",NA,NA,NA
88424.4410369079,88504.5267481805,0.630297714317702,0.0178958919245262,0.623561002705951,14.2377950935634,14.3682279756444,"valence","trial_sd_y_flips","by_sample_cutoffNA",NA,NA,NA
3749.78982531147,3822.59501737745,0.497278001307654,0.0362288719624107,0.47838030828338,0.206445183917729,1,"stress","clicks","by_sample_cutoffNA",0.154180892264166,-Inf,0.00473022170864151
3752.9451072121,3825.75029927807,0.516228682265694,0.0480574749478905,0.491806170012392,0.206163793488035,1,"stress","task_total_dist","by_sample_cutoffNA",0.153867780904773,-Inf,0.00427804785355275
