"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","iv1","iv2","dframe"
"fixed",NA,"zoom",-2.5595215787431,1.09303978472451,-2.34165454406419,570.499848257128,0.0195416283128936,-4.70639479842787,-0.412648359058331,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
"fixed",NA,"screen_width",-2.9449462364264,2.88032706395185,-1.02243466489736,353.584933347504,0.307274229808777,-8.60967342222633,2.71978094937354,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
"fixed",NA,"screen_height",3.08196170832313,2.64819096082132,1.16379889287413,416.980127564255,0.245171005816057,-2.12350629216466,8.28742970881092,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
"fixed",NA,"median_sampling_freq",-0.316738956041406,0.521403921812053,-0.607473290459021,5514.99853565234,0.543561873669108,-1.33889619397203,0.705418281889222,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
"fixed",NA,"trial_sd_x_flips:trial_sd_speed_mean",-0.234387989074773,0.136872082820179,-1.71246016167307,10561.6175369578,0.0868412531786879,-0.502683088534438,0.0339071103848916,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
"ran_pars","ID","sd__(Intercept)",18.4682628855239,NA,NA,NA,NA,NA,NA,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
"ran_pars","Residual","sd__Observation",14.3924165551804,NA,NA,NA,NA,NA,NA,"valence","trial_sd_x_flips","trial_sd_speed_mean","by_participant_cutoffNA"
"fixed",NA,"(Intercept)",68.7693135881151,1.43363422204276,47.968521210471,167.339876465818,1.02558813243798e-99,65.9389731367223,71.599654039508,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"fixed",NA,"trial_sd_total_dist",-0.225347155030203,0.153055305759218,-1.47232501292515,10570.2801968444,0.140962904685671,-0.525364395787461,0.0746700857270551,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"fixed",NA,"trial_sd_speed_sd",-0.0180207579816735,0.151312382208047,-0.11909638668497,10572.8608899614,0.905201256029519,-0.314621531854475,0.278580015891129,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"fixed",NA,"timestamp",-0.356287278961454,0.140281970761713,-2.53979379550244,10564.9223117959,0.0111059876399795,-0.631266392109096,-0.0813081658138118,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"fixed",NA,"zoom",-2.60123627769552,1.0930753506111,-2.3797410455201,570.417453591515,0.0176525444694969,-4.74818001272851,-0.454292542662527,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"fixed",NA,"screen_width",-2.93118520665182,2.88088553149249,-1.01745979651377,353.416468027084,0.309630758839863,-8.59702000389433,2.7346495905907,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"fixed",NA,"screen_height",3.07811324158548,2.64947365539057,1.16178292066532,416.603082747277,0.245988819823256,-2.12988983257041,8.28611631574137,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"fixed",NA,"median_sampling_freq",-0.292825249119453,0.521403637408673,-0.561609524963744,5520.22028616851,0.574404888343326,-1.3149817172611,0.729331219022189,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"fixed",NA,"trial_sd_total_dist:trial_sd_speed_sd",-0.216674806350141,0.104738497061733,-2.06872174442633,10574.5278572533,0.038596451751116,-0.421981987882641,-0.0113676248176414,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"ran_pars","ID","sd__(Intercept)",18.469843462203,NA,NA,NA,NA,NA,NA,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"ran_pars","Residual","sd__Observation",14.3881969561715,NA,NA,NA,NA,NA,NA,"valence","trial_sd_total_dist","trial_sd_speed_sd","by_participant_cutoffNA"
"fixed",NA,"(Intercept)",68.7077813127191,1.4330128518432,47.9463817957698,167.17725601809,1.27221566109258e-99,65.8786475516615,71.5369150737767,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"fixed",NA,"task_y_flips",0.0355529709787142,0.140590249516712,0.252883618180706,10556.4045630651,0.800363072872141,-0.240030452133,0.311136394090429,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"fixed",NA,"trial_sd_abs_jerk_sd",-0.220114469913143,0.141004276038102,-1.56104819015321,10557.490059451,0.118542354169282,-0.496509459888652,0.0562805200623659,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"fixed",NA,"timestamp",-0.355889580124464,0.140257758559316,-2.53739674567775,10565.7886884423,0.0111822827975625,-0.630821230207128,-0.0809579300417997,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"fixed",NA,"zoom",-2.54213945504214,1.0929665270459,-2.32590787744717,570.361327569448,0.0203731033206988,-4.68886989544606,-0.39540901463821,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"fixed",NA,"screen_width",-2.89082076334113,2.87974162612636,-1.00384726779454,353.684870673072,0.316138519253038,-8.55439107486283,2.77274954818056,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"fixed",NA,"screen_height",3.05394694054195,2.64652597360008,1.15394557658078,417.189679953356,0.249183105505211,-2.14824063935745,8.25613452044134,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"fixed",NA,"median_sampling_freq",-0.311386872865328,0.521333450510177,-0.59728926383029,5514.85398165522,0.550338792876687,-1.33340596514318,0.710632219412527,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"fixed",NA,"task_y_flips:trial_sd_abs_jerk_sd",-0.252509314298704,0.128858458869413,-1.9595866388143,10565.221501472,0.0500703776256047,-0.505096189391176,7.75607937679168e-05,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"ran_pars","ID","sd__(Intercept)",18.466860323608,NA,NA,NA,NA,NA,NA,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"ran_pars","Residual","sd__Observation",14.3903324248535,NA,NA,NA,NA,NA,NA,"valence","task_y_flips","trial_sd_abs_jerk_sd","by_participant_cutoffNA"
"fixed",NA,"(Intercept)",68.6981797379451,1.4329329615063,47.9423543064634,167.165737432828,1.30215358955721e-99,65.8692022796461,71.527157196244,"valence","clicks","trial_sd_speed_sd","by_participant_cutoffNA"
